dataset,case_id,n_tokens,n_sentences,n_violations,n_judge_confirmed,n_generated,n_rerouted,n_despecified,trace_jsonl
ctrate,train_19015_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_19015_a_2/trace.jsonl
ctrate,train_3872_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_3872_a_1/trace.jsonl
ctrate,train_11988_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_11988_a_1/trace.jsonl
ctrate,train_7310_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_7310_a_1/trace.jsonl
ctrate,train_8720_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_8720_a_1/trace.jsonl
ctrate,valid_277_f_1,128,6,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_277_f_1/trace.jsonl
ctrate,train_11960_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_11960_a_1/trace.jsonl
ctrate,train_9249_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9249_a_2/trace.jsonl
ctrate,train_14291_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14291_a_1/trace.jsonl
ctrate,train_9377_c_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9377_c_1/trace.jsonl
ctrate,train_1567_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_1567_a_2/trace.jsonl
ctrate,train_14588_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14588_b_1/trace.jsonl
ctrate,train_8293_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_8293_a_2/trace.jsonl
ctrate,train_19805_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_19805_a_1/trace.jsonl
ctrate,train_6385_a_2,128,8,3,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_6385_a_2/trace.jsonl
ctrate,train_12002_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_12002_a_2/trace.jsonl
ctrate,train_12151_a_2,128,8,3,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_12151_a_2/trace.jsonl
ctrate,train_6840_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_6840_a_1/trace.jsonl
ctrate,train_11611_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_11611_a_1/trace.jsonl
ctrate,train_5298_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_5298_a_2/trace.jsonl
ctrate,train_8241_c_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_8241_c_1/trace.jsonl
ctrate,train_17609_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_17609_a_2/trace.jsonl
ctrate,train_19069_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_19069_a_2/trace.jsonl
ctrate,train_6598_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_6598_a_2/trace.jsonl
ctrate,train_613_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_613_a_1/trace.jsonl
ctrate,train_7569_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_7569_a_2/trace.jsonl
ctrate,train_10735_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10735_a_1/trace.jsonl
ctrate,train_13876_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_13876_a_1/trace.jsonl
ctrate,train_11766_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_11766_a_2/trace.jsonl
ctrate,train_17413_c_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_17413_c_1/trace.jsonl
ctrate,train_11196_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_11196_a_2/trace.jsonl
ctrate,train_5734_b_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_5734_b_2/trace.jsonl
ctrate,train_12027_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_12027_b_1/trace.jsonl
ctrate,train_9600_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9600_a_2/trace.jsonl
ctrate,train_14457_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14457_a_2/trace.jsonl
ctrate,train_10509_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10509_a_2/trace.jsonl
ctrate,train_15639_b_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_15639_b_1/trace.jsonl
ctrate,train_8768_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_8768_a_1/trace.jsonl
ctrate,train_10493_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10493_a_1/trace.jsonl
ctrate,train_14938_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14938_a_1/trace.jsonl
ctrate,train_17352_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_17352_a_2/trace.jsonl
ctrate,train_10468_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_10468_a_2/trace.jsonl
ctrate,train_15850_a_2,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_15850_a_2/trace.jsonl
ctrate,train_14309_d_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14309_d_1/trace.jsonl
ctrate,train_13261_a_2,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_13261_a_2/trace.jsonl
ctrate,valid_950_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/valid_950_a_2/trace.jsonl
ctrate,train_15462_b_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_15462_b_2/trace.jsonl
ctrate,train_4258_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_4258_a_2/trace.jsonl
ctrate,train_6087_c_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_6087_c_1/trace.jsonl
ctrate,train_9606_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_9606_a_2/trace.jsonl
ctrate,train_14366_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_14366_a_1/trace.jsonl
ctrate,train_5487_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_5487_a_2/trace.jsonl
ctrate,train_6662_a_2,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/ctrate/train_6662_a_2/trace.jsonl
radgenome,train_4792_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_4792_a_1/trace.jsonl
radgenome,train_18428_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_18428_b_1/trace.jsonl
radgenome,train_16526_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_16526_a_1/trace.jsonl
radgenome,train_2164_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_2164_a_1/trace.jsonl
radgenome,train_7280_c_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_7280_c_1/trace.jsonl
radgenome,train_17864_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_17864_a_1/trace.jsonl
radgenome,train_15620_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15620_a_1/trace.jsonl
radgenome,valid_212_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_212_a_1/trace.jsonl
radgenome,valid_565_b_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_565_b_1/trace.jsonl
radgenome,train_7175_b_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_7175_b_1/trace.jsonl
radgenome,train_4803_b_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_4803_b_1/trace.jsonl
radgenome,valid_391_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_391_a_1/trace.jsonl
radgenome,train_13136_a_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_13136_a_1/trace.jsonl
radgenome,train_1242_d_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_1242_d_1/trace.jsonl
radgenome,train_8854_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_8854_a_1/trace.jsonl
radgenome,train_6560_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_6560_a_1/trace.jsonl
radgenome,train_13718_d_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_13718_d_1/trace.jsonl
radgenome,train_12610_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_12610_a_1/trace.jsonl
radgenome,train_6047_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_6047_a_1/trace.jsonl
radgenome,valid_479_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/valid_479_a_1/trace.jsonl
radgenome,train_7334_a_1,128,8,0,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_7334_a_1/trace.jsonl
radgenome,train_15582_c_1,128,8,2,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15582_c_1/trace.jsonl
radgenome,train_7779_a_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_7779_a_1/trace.jsonl
radgenome,train_15911_b_1,128,8,1,0,0,0,0,/data/ProveTok_ACM/outputs/ablation_k_sweep/k8/cases/radgenome/train_15911_b_1/trace.jsonl
