config,n_sentences,R1,R3,R6b,R2,R6a,total_violations,viol_rate_%
A0,3979,0,237,65,0,0,302,7.59
A1,3979,0,174,65,0,0,239,6.01
E1,3979,95,86,65,0,0,246,6.01
B2',3979,109,86,44,0,0,239,5.83
B2'v2,3979,98,23,48,0,0,169,4.2
C2',3979,113,86,47,0,0,246,5.98
D2,3979,102,86,49,0,0,237,5.78
