config,viol_180,viol_5k,R1_180,R1_5k,R3_180,R3_5k,R6b_180,R6b_5k
A0,14.47,7.59,100,0,91,237,17,65
A1,13.15,6.01,92,0,80,174,17,65
E1,11.41,6.18,128,95,19,86,17,65
B2',9.19,6.01,102,109,19,86,10,44
B2'v2,3.9,4.25,39,98,4,23,13,48
C2',8.98,6.18,97,113,19,86,12,47
D2,9.19,5.96,99,102,19,86,12,49
